timepoint,population,n_responder,n_non_responder,median_difference,cliffs_delta,effect_magnitude,p_value,q_value,significant
0,b_cell,331,325,0.02685927678748179,0.02707878224494542,negligible,0.5485408675112389,0.8853281081905567,False
0,cd8_t_cell,331,325,-0.20534052879658304,-0.02945851731350224,negligible,0.5139556861462278,0.8853281081905567,False
0,cd4_t_cell,331,325,0.10328652260140458,0.011647687659772199,negligible,0.7964495929763914,0.8853281081905567,False
0,nk_cell,331,325,0.10687842468985842,-0.006516383918196644,negligible,0.8853281081905569,0.8853281081905567,False
0,monocyte,331,325,-0.6804217689487189,-0.05639786195677432,negligible,0.21138928177193006,0.8853281081905567,False
7,b_cell,331,325,-0.7323231462222619,-0.06595398559144783,negligible,0.14386477481769383,0.23977462469615637,False
7,cd8_t_cell,331,325,-0.0763096871894362,-0.021259586335115044,negligible,0.637658094967041,0.637658094967041,False
7,cd4_t_cell,331,325,0.8980287975926124,0.09809900069718802,negligible,0.029706072054571857,0.1485303602728593,False
7,nk_cell,331,325,-0.37612910205040073,-0.06697652800371834,negligible,0.1377526593743302,0.23977462469615637,False
7,monocyte,331,325,-0.4352313722565633,-0.0315779688589356,negligible,0.48413674295382403,0.6051709286922801,False
14,b_cell,331,325,-0.7297570798595654,-0.11040669300488026,negligible,0.014414435042203688,0.07207217521101844,False
14,cd8_t_cell,331,325,0.5193487231829224,0.014938415059261079,negligible,0.7407366897157915,0.7407366897157915,False
14,cd4_t_cell,331,325,0.7210683615508593,0.08021380432256575,negligible,0.0754706770446271,0.18867669261156772,False
14,nk_cell,331,325,-0.3005868790097157,-0.04537299558447594,negligible,0.3147007071269343,0.5245011785448905,False
14,monocyte,331,325,-0.12636805041773158,-0.020664652567975783,negligible,0.6471033071525258,0.7407366897157915,False
